talla;la;ma;sa;lo;mo;so
69.4;-0.3833;8.0392;0.09075;-0.3521;8.2865;0.08223
69.5;-0.3833;8.0599;0.09074;-0.3521;8.3092;0.08224
69.6;-0.3833;8.0806;0.09072;-0.3521;8.3320;0.08225
69.7;-0.3833;8.1012;0.09071;-0.3521;8.3547;0.08226
69.8;-0.3833;8.1218;0.09070;-0.3521;8.3774;0.08227
69.9;-0.3833;8.1424;0.09069;-0.3521;8.4001;0.08228
70.0;-0.3833;8.1630;0.09068;-0.3521;8.4227;0.08229
70.1;-0.3833;8.1835;0.09067;-0.3521;8.4454;0.08230
70.2;-0.3833;8.2039;0.09065;-0.3521;8.4680;0.08231
70.3;-0.3833;8.2244;0.09064;-0.3521;8.4906;0.08232
70.4;-0.3833;8.2448;0.09063;-0.3521;8.5132;0.08233
70.5;-0.3833;8.2651;0.09062;-0.3521;8.5358;0.08235
70.6;-0.3833;8.2855;0.09061;-0.3521;8.5583;0.08236
70.7;-0.3833;8.3058;0.09059;-0.3521;8.5808;0.08237
70.8;-0.3833;8.3261;0.09058;-0.3521;8.6032;0.08238
70.9;-0.3833;8.3464;0.09057;-0.3521;8.6257;0.08240
71.0;-0.3833;8.3666;0.09056;-0.3521;8.6480;0.08241
71.1;-0.3833;8.3869;0.09055;-0.3521;8.6704;0.08242
71.2;-0.3833;8.4071;0.09053;-0.3521;8.6927;0.08243
71.3;-0.3833;8.4273;0.09052;-0.3521;8.7150;0.08245
71.4;-0.3833;8.4474;0.09051;-0.3521;8.7372;0.08246
71.5;-0.3833;8.4676;0.09050;-0.3521;8.7594;0.08248
71.6;-0.3833;8.4877;0.09048;-0.3521;8.7815;0.08249
71.7;-0.3833;8.5078;0.09047;-0.3521;8.8036;0.08250
71.8;-0.3833;8.5278;0.09046;-0.3521;8.8257;0.08252
71.9;-0.3833;8.5479;0.09045;-0.3521;8.8477;0.08253
72.0;-0.3833;8.5679;0.09043;-0.3521;8.8697;0.08254
72.1;-0.3833;8.5879;0.09042;-0.3521;8.8916;0.08256
72.2;-0.3833;8.6078;0.09041;-0.3521;8.9135;0.08257
72.3;-0.3833;8.6277;0.09040;-0.3521;8.9353;0.08259
72.4;-0.3833;8.6476;0.09039;-0.3521;8.9571;0.08260
72.5;-0.3833;8.6674;0.09037;-0.3521;8.9788;0.08262
72.6;-0.3833;8.6872;0.09036;-0.3521;9.0005;0.08263
72.7;-0.3833;8.7070;0.09035;-0.3521;9.0221;0.08264
72.8;-0.3833;8.7267;0.09034;-0.3521;9.0436;0.08266
72.9;-0.3833;8.7464;0.09032;-0.3521;9.0651;0.08267
73.0;-0.3833;8.7661;0.09031;-0.3521;9.0865;0.08269
73.1;-0.3833;8.7857;0.09030;-0.3521;9.1079;0.08270
73.2;-0.3833;8.8053;0.09028;-0.3521;9.1292;0.08272
73.3;-0.3833;8.8248;0.09027;-0.3521;9.1504;0.08273
